node_id,x_coord,y_coord,Z
1,-79.84201,37.26996,z
2,-79.83997,37.25162,1
3,-79.91477,37.36715,2
4,-79.89934,37.35268,3
5,-79.86451,37.34278,4
6,-79.83544,37.33614,5
7,-79.81168,37.36634,6
8,-79.8201,37.38608,7
9,-79.83156,37.37151,8
10,-79.85193,37.36099,9
11,-79.89344,37.36083,10
12,-79.88377,37.38543,11
13,-79.90532,37.40156,12
14,-79.91911,37.42717,13
15,-79.89482,37.4249,14
16,-79.9445,37.44454,15
17,-79.86991,37.3773,16
18,-79.89764,37.47025,18
19,-80.20872,37.23666,19
20,-80.22829,37.21478,20
21,-79.90782,37.28293,21
22,-79.90156,37.27814,22
23,-79.88859,37.27571,23
24,-79.88991,37.28169,24
25,-79.87646,37.28313,25
26,-79.87645,37.27721,26
27,-79.88246,37.2677,27
28,-79.89823,37.26943,28
29,-79.87163,37.31687,29
30,-79.86267,37.2874,30
31,-79.85862,37.27431,31
32,-79.87267,37.26204,32
33,-79.88621,37.25015,33
34,-79.87116,37.23266,34
35,-79.91436,37.23746,35
36,-79.97225,37.21091,36
37,-79.98403,37.22739,37
38,-79.97722,37.2303,38
39,-79.9889,37.23067,39
40,-80.0054,37.21364,40
41,-79.99722,37.23453,41
42,-80.00083,37.24219,42
43,-80.01773,37.24112,43
44,-80.02591,37.22189,44
45,-80.02978,37.23689,45
46,-80.04686,37.23965,46
47,-80.06064,37.25234,47
48,-80.12231,37.27617,48
49,-80.12158,37.28246,49
50,-80.10825,37.25732,50
51,-80.132,37.29269,51
52,-80.11485,37.29566,52
53,-80.09098,37.30291,53
54,-80.05968,37.32262,54
55,-80.02254,37.31469,55
56,-80.01167,37.33328,56
57,-79.97924,37.34015,57
58,-80.00778,37.32487,58
59,-79.96578,37.35342,59
60,-79.95031,37.35549,60
61,-79.93985,37.356,61
62,-79.96132,37.34108,62
63,-79.94974,37.33856,63
64,-79.9324,37.34853,64
65,-79.95812,37.32833,65
66,-79.94224,37.32871,66
67,-79.93359,37.33083,67
68,-79.92355,37.33924,68
69,-79.87993,37.32725,69
70,-80.04041,37.25652,70
71,-79.85185,37.29955,71
72,-79.89198,37.32141,72
73,-79.90348,37.20738,73
74,-79.94523,37.20639,74
75,-79.95477,37.1831,75
76,-79.98799,37.1992,76
77,-80.02049,37.20053,77
78,-80.02002,37.18213,78
79,-80.06925,37.19325,79
80,-80.09657,37.19887,80
81,-80.05202,37.21519,81
82,-80.08143,37.22273,82
83,-79.98135,37.15551,83
84,-80.15194,37.28009,84
85,-80.16089,37.25747,85
86,-80.16453,37.23185,86
87,-79.9812,37.35441,195
88,-79.94232,37.27434,87
89,-79.94654,37.27283,89
90,-79.94372,37.26337,90
91,-79.94355,37.25726,91
92,-79.95112,37.26261,92
93,-79.95331,37.27034,93
94,-79.96306,37.27001,94
95,-79.97021,37.27602,95
96,-79.98601,37.26497,96
97,-79.99281,37.25768,97
98,-79.9901,37.24772,98
99,-79.97909,37.25328,99
100,-79.97149,37.26118,100
101,-79.9622,37.26269,101
102,-79.95485,37.25483,102
103,-79.95483,37.25246,103
104,-79.97384,37.24447,104
105,-79.95997,37.23822,105
106,-79.95236,37.24706,106
107,-79.94683,37.24205,107
108,-79.93553,37.2548,108
109,-79.93248,37.23724,109
110,-79.91536,37.24555,110
111,-79.90753,37.25581,111
112,-79.92025,37.25352,112
113,-79.9227,37.26176,113
114,-79.91182,37.26946,114
115,-79.91507,37.27612,115
116,-79.92209,37.27441,116
117,-79.93327,37.26527,117
118,-79.93123,37.27569,118
119,-79.93189,37.28066,119
120,-79.92307,37.28721,120
121,-79.91076,37.28677,121
122,-79.89814,37.28646,122
123,-79.91621,37.29151,123
124,-79.92362,37.29857,124
125,-79.93458,37.30574,125
126,-79.93473,37.29916,126
127,-79.94266,37.29491,127
128,-79.93683,37.28888,128
129,-79.93124,37.28884,129
130,-79.94413,37.27883,130
131,-79.95003,37.27983,131
132,-79.94825,37.28736,132
133,-79.94099,37.28621,133
134,-79.96054,37.29594,134
135,-79.96075,37.28851,135
136,-79.96214,37.28231,136
137,-79.97128,37.28456,137
138,-79.97049,37.29184,138
139,-79.97224,37.3029,139
140,-79.97976,37.29521,140
141,-79.98155,37.28371,141
142,-80.00006,37.28391,142
143,-79.99846,37.29063,143
144,-79.99968,37.29882,144
145,-79.95402,37.30703,145
146,-79.95063,37.29792,146
147,-79.94172,37.30996,147
148,-79.94401,37.31744,148
149,-80.00728,37.25392,149
150,-80.02747,37.25345,150
151,-80.01421,37.25928,151
152,-80.01208,37.26627,152
153,-80.00041,37.27482,153
154,-80.01431,37.28529,154
155,-80.0126,37.29304,155
156,-80.0141,37.30815,156
157,-79.99699,37.30689,157
158,-79.9906,37.31565,158
159,-79.97252,37.32587,159
160,-79.96496,37.32068,160
161,-79.91713,37.31288,161
162,-79.90308,37.30385,162
163,-79.89788,37.29328,163
164,-79.95559,37.2226,164
165,-79.96843,37.24145,165
166,-79.96439,37.30507,166
167,-80.05897,37.29341,167
168,-80.07149,37.27196,168
169,-80.05754,37.29796,169
170,-80.04689,37.29646,170
171,-80.05002,37.2893,171
172,-80.04541,37.30191,172
173,-80.02585,37.30355,173
174,-80.0237,37.29563,174
175,-80.02844,37.28134,175
176,-80.01966,37.27374,176
177,-80.0349,37.26547,177
178,-80.04454,37.27792,178
179,-80.03658,37.28702,179
180,-80.05093,37.28474,180
181,-80.05162,37.27022,181
182,-80.06443,37.27771,182
183,-80.06453,37.28855,183
184,-80.06792,37.29502,184
185,-80.07798,37.29496,185
186,-80.0204,37.26834,186
187,-80.04043,37.31442,187
188,-80.09034,37.29351,188
189,-80.10128,37.28967,189
190,-80.1098,37.286,190
191,-80.0979,37.28301,191
192,-80.08057,37.27952,192
193,-80.05752,37.25982,193
194,-80.06531,37.30477,194
195,-80.04193,37.33138,17
197,-79.94705,37.26993,197
198,-79.9395,37.26982,198
199,-79.94218,37.27059,88
200,-79.94237,37.27296,199
201,-79.94288,37.26808,200
202,-79.94006,37.26429,201
203,-80.05531,37.2923,205
204,-80.05873,37.29157,206
205,-79.95364,37.27356,203
206,-79.96338,37.27494,204
250,-80.2786,37.19036,202
251,-80.04674,37.34361,
252,-79.97158,37.45789,
253,-79.89473,37.49241,
254,-79.87928,37.50294,
257,-79.83933,37.45886,
258,-79.77884,37.3946,
259,-79.78301,37.27048,
260,-79.82767,37.24127,
261,-79.8807,37.20759,
262,-79.97265,37.13141,
263,-80.0078,37.16414,
264,-80.11151,37.17336,
265,-80.23588,37.19211,
266,-80.08551,37.17949,
267,-79.81581,37.40925,
1000,-80.27339,37.19284,
1001,-80.27339,37.1936,
1004,-80.24027,37.23046,
1005,-80.23966,37.2306,
1006,-80.23921,37.23157,
1007,-80.23898,37.23325,
1008,-80.23884,37.23317,
1009,-80.23883,37.23155,
1010,-80.2387,37.23298,
1011,-80.23865,37.2331,
1012,-80.23687,37.23268,
1013,-80.23681,37.23439,
1014,-80.23668,37.23305,
1015,-80.23652,37.23428,
1016,-80.23647,37.2348,
1017,-80.23633,37.23315,
1018,-80.23621,37.19831,
1019,-80.23604,37.23485,
1020,-80.23603,37.20222,
1021,-80.23601,37.20285,
1022,-80.23599,37.23325,
1023,-80.23592,37.19831,
1024,-80.23576,37.20676,
1025,-80.23574,37.20219,
1026,-80.23571,37.20279,
1027,-80.23549,37.20673,
1028,-80.23484,37.21024,
1029,-80.23454,37.21021,
1030,-80.23305,37.21465,
1031,-80.23292,37.21453,
1032,-80.23203,37.21622,
1033,-80.23184,37.21617,
1034,-80.23154,37.21698,
1035,-80.23137,37.21692,
1036,-80.2287,37.21999,
1037,-80.22861,37.21984,
1038,-80.22841,37.23895,
1039,-80.22839,37.22016,
1040,-80.22835,37.23923,
1042,-80.22826,37.22005,
1043,-80.22275,37.22149,
1044,-80.22272,37.22135,
1045,-80.22077,37.24092,
1046,-80.22069,37.24065,
1047,-80.2205,37.23842,
1048,-80.21967,37.22201,
1049,-80.21947,37.22192,
1050,-80.21815,37.22285,
1051,-80.21803,37.22273,
1052,-80.21772,37.2413,
1053,-80.21687,37.22361,
1054,-80.21683,37.23677,
1055,-80.21674,37.2235,
1056,-80.21522,37.22461,
1057,-80.21515,37.22447,
1058,-80.21345,37.23204,
1059,-80.2129,37.22595,
1060,-80.21279,37.2304,
1061,-80.21252,37.22596,
1062,-80.21252,37.22613,
1063,-80.21166,37.22649,
1064,-80.21147,37.22639,
1065,-80.21027,37.22705,
1066,-80.21017,37.2269,
1068,-80.20529,37.24845,
1069,-80.20508,37.24856,
1070,-80.20501,37.24819,
1071,-80.20484,37.24826,
1072,-80.2046,37.22929,
1073,-80.20459,37.22903,
1074,-80.20418,37.24892,
1075,-80.20376,37.24867,
1076,-80.20104,37.23071,
1077,-80.20084,37.23051,
1078,-80.20017,37.23106,
1079,-80.19978,37.23095,
1080,-80.19821,37.23184,
1081,-80.19814,37.23168,
1082,-80.19706,37.2323,
1083,-80.19693,37.2322,
1084,-80.19403,37.23351,
1085,-80.19398,37.23364,
1086,-80.19272,37.23416,
1087,-80.18949,37.23566,
1088,-80.18686,37.23707,
1089,-80.18616,37.25065,
1090,-80.18604,37.25038,
1091,-80.18462,37.23853,
1092,-80.18454,37.23847,
1093,-80.18255,37.23983,
1094,-80.17886,37.25443,
